0,AttackAction,MENU/FIRE_WEAPON,+attack,Y,Y,Y,
1,ToggleAIMAction,MENU/AIM_DOWN_THE_SIGHT,+toggleads_throw,Y,Y,Y,
2,HoldAIMAction,MENU/HOLD_AIM_DOWN_SIGHT,+speed_throw,Y,Y,Y,
3,ReloadAction,MENU/RELOAD_WEAPON,+reload,Y,Y,Y,
4,WeaponNextAction,MENU/SWITCH_WEAPON,+weapnext,Y,Y,Y,
5,MeleeZoomAction,PLATFORM/MELEEZOOM,+melee_zoom,Y,Y,Y,
6,ActivateAction,MENU/USE,+activate,Y,Y,Y,
7,SmokeAction,MENU/USE_TACTICAL,+smoke,Y,Y,Y,
8,FragAction,MENU/USE_LETHAL,+frag,Y,Y,Y,
9,SpecialAction,MENU/ACTIVATE_SUPER,+special,
