Default,Normal,preferOptimalTTLOS,1,
Default,Normal,preferNearGroupedTeamMates,0.75,
Default,Normal,avoidRecentlyUsedByAnyone,0.5,
Default,Normal,avoidSameSpawn,0.25,
Default,Normal,randomSpawnScore,0.1,
DZ,Normal,avoidEnemyInfluence,50,
DZ,Normal,avoidClosestEnemyByDistance,2.75,
DZ,Normal,preferAlliesByDistance,1,
DZ,Normal,avoidRecentlyUsedByEnemies,1,
DZ,Normal,avoidEnemiesByDistance,1,
DZ,Normal,avoidLastDeathLocation,0.25,
DZ,Normal,avoidLastAttackerLocation,0.25,
DZ,Normal,avoidSameSpawn,0.25,
DZ,Normal,avoidRecentlyUsedByAnyone,0.25,
DZ,Normal,randomSpawnScore,0.01,
Domination,Normal,preferDomPoints,2.5,
Domination,Normal,preferOptimalTTLOS,1,
Domination,Normal,preferNearGroupedTeamMates,0.75,
Domination,Normal,avoidRecentlyUsedByAnyone,0.5,
Domination,Normal,avoidLastDeathLocation,0.5,
Domination,Normal,avoidLastAttackerLocation,0.5,
Domination,Normal,avoidSameSpawn,0.25,
Domination,Normal,randomSpawnScore,0.1,
FreeForAll,Normal,avoidShortTimeToEnemySight,2,
FreeForAll,Normal,avoidRecentlyUsedByEnemies,2,
FreeForAll,Normal,avoidEnemiesByDistance,2,
FreeForAll,Normal,avoidLastDeathLocation,0.5,
FreeForAll,Normal,avoidLastAttackerLocation,0.5,
FreeForAll,Normal,avoidSameSpawn,0.5,
FreeForAll,Normal,randomSpawnScore,0.1,
FreeForAll,Normal,avoidClosestEnemy,3,
SearchAndRescue,Normal,preferAlliesByDistance,1,
SearchAndRescue,Normal,avoidEnemiesByDistance,3,
SearchAndRescue,Normal,avoidLastDeathLocation,0.5,
SearchAndRescue,Normal,avoidLastAttackerLocation,0.5,
SearchAndRescue,Normal,randomSpawnScore,0.01,
AwayFromEnemies,Normal,preferAlliesByDistance,1,
AwayFromEnemies,Normal,avoidRecentlyUsedByEnemies,1,
AwayFromEnemies,Normal,avoidEnemiesByDistance,2,
AwayFromEnemies,Normal,avoidLastDeathLocation,0.25,
AwayFromEnemies,Normal,avoidLastAttackerLocation,1,
AwayFromEnemies,Normal,avoidSameSpawn,0.25,
AwayFromEnemies,Normal,avoidRecentlyUsedByAnyone,0.25,
AwayFromEnemies,Normal,randomSpawnScore,0.01,
Hardpoint,Normal,avoidEnemyInfluence,50,
Hardpoint,Normal,avoidClosestEnemyByDistance,2.75,
Hardpoint,Normal,preferShortestDistToKOTHZone,1.5,
Hardpoint,Normal,avoidRecentlyUsedByEnemies,1,
Hardpoint,Normal,avoidSameSpawn,1,
Hardpoint,Normal,avoidRecentlyUsedByAnyone,1,
Hardpoint,Normal,preferNearLastTeamSpawn,0.25,
Hardpoint,Normal,avoidLastDeathLocation,0.25,
Hardpoint,Normal,avoidLastAttackerLocation,0.25,
Hardpoint,Normal,randomSpawnScore,0.1,
TDef,Normal,avoidCloseToBall,100,
TDef,Normal,avoidEnemyInfluence,50,
TDef,Normal,preferCloseToAlly,1.5,
TDef,Normal,avoidCloseToBallSpawn,2,
TDef,Normal,avoidRecentlyUsedByEnemies,1,
TDef,Normal,avoidLastDeathLocation,0.25,
TDef,Normal,avoidLastAttackerLocation,0.25,
TDef,Normal,avoidSameSpawn,0.25,
TDef,Normal,avoidRecentlyUsedByAnyone,0.1,
TDef,Normal,randomSpawnScore,0.1,
Front,Normal,avoidShortTimeToEnemySight,2,
Front,Normal,avoidEnemiesByDistance,1,
Front,Normal,avoidVeryShortTimeToJumpingEnemySight,1,
Front,Normal,avoidLastDeathLocation,0.5,
Front,Normal,avoidLastAttackerLocation,0.5,
Front,Normal,avoidShortTimeToJumpingEnemySight,0.25,
Front,Normal,avoidSameSpawn,0.25,
Front,Normal,avoidRecentlyUsedByAnyone,1000,
Front,Normal,randomSpawnScore,0.1,
Rugby,Normal,avoidRugbyOffsides,100,
Rugby,Normal,preferNearSinglePoint,4,
Rugby,Normal,preferNearGroupedTeamMates,2,
Rugby,Normal,preferOptimalTTLOS,0.25,
Rugby,Normal,avoidRecentlyUsedByAnyone,0.25,
Rugby,Normal,randomSpawnScore,0.5,
MTMC,Normal,oneUseSpawns,100,
MTMC,Normal,preferNearGroupedTeamMates,10,
MTMC,Normal,avoidEnemiesByDistance,5,
Crit_Default,Critical,dummy,
